key,population,life_expectancy,human_development_index
BZ,374681,70.384,0.708
CA,32976026,82.30051,0.926
CA_AB,73022,,
CA_BC,55000,,
CA_MB,25228,,
CA_NB,193800,,
CA_NL,512930,,
CA_NS,276854,,
CA_NT,5700,,
CA_NU,38243,,
CA_ON,1620851,,
CA_PE,135294,,
CA_QC,890261,,
CA_SK,91279,,
CA_YT,27219,,
CC,596,,
CD,86790567,59.621,0.457
CF,4659080,52.171,0.367
CG,5260750,64.625,0.606
CH,8466017,82.89756,0.944
CH_AG,678207,,
CH_AI,16145,,
CH_AR,55234,,
CH_BE,1034977,,
CH_BL,288132,,
CH_BS,194766,,
CH_FR,318714,,
CH_GE,499480,,
CH_GL,40403,,
CH_GR,198379,,
CH_JU,73419,,
CH_LU,409557,,
CH_NE,176850,,
CH_NW,43223,,
CH_OW,37841,,
CH_SG,507697,,
CH_SH,81991,,
CH_SO,273194,,
CH_SZ,159165,,
CH_TG,276472,,
CH_TI,353343,,
CH_UR,36433,,
CH_VD,799145,,
CH_VS,343955,,
CH_ZG,126837,,
CH_ZH,1520968,,
CI,24294750,53.582,0.492
CK,17434,,
CL,18054726,79.522,0.843
CL_AI,66361,,
CL_AN,341702,,
CL_AP,152187,,
CL_AR,698232,,
CL_AT,183407,,
CL_BI,1136836,,
CL_CO,419956,,
CL_LI,586672,,
CL_LL,618864,,
CL_LR,329925,,
CL_MA,131914,,
CL_ML,730587,,
CL_NB,419249,,
CL_RM,4318097,,
CL_TA,122957,,
CL_VS,1210077,,
CM,24053727,58.073,0.556
CN,1382793212,76.252,0.752
CN_AH,59500510,,
CN_BJ,15380000,,
CN_CQ,4306933,,
CN_FJ,36894216,,
CN_GD,113460000,,
CN_GS,25575254,,
CN_GX,46026629,,
CN_GZ,35800000,,
CN_HA,96050000,,
CN_HB,58160000,,
CN_HE,71854202,,
CN_HI,8671518,,
CN_HK,7500700,84.22683,0.933
CN_HL,38312224,,
CN_HN,65683722,,
CN_JL,27462297,,
CN_JS,78659903,,
CN_JX,44567475,,
CN_LN,43746323,,
CN_MO,642900,83.849,
CN_NM,24706321,,
CN_NX,6301350,,
CN_QH,5930000,,
CN_SC,81100000,,
CN_SD,95793065,,
CN_SH,24152700,,
CN_SN,37327378,,
CN_SX,36500000,,
CN_TJ,13245000,,
CN_TW,23140000,,
CN_XJ,21813334,,
CN_XZ,3180000,,
CN_YN,47420000,,
CN_ZJ,56570000,,
CO,49065615,74.381,0.747
CO_05,6677930,,
CO_05_05001,2223078,,
CO_05_05002,,,
CO_05_05004,,,
CO_05_05021,,,
CO_05_05030,30376,,
CO_05_05031,22714,,
CO_05_05034,47384,,
CO_05_05036,,,
CO_05_05038,,,
CO_05_05040,,,
CO_05_05042,22764,,
CO_05_05044,,,
CO_05_05045,131405,,
CO_05_05051,44560,,
CO_05_05055,,,
CO_05_05059,,,
CO_05_05079,53167,,
CO_05_05086,,,
CO_05_05088,371591,,
CO_05_05091,,,
CO_05_05093,,,
CO_05_05101,27458,,
CO_05_05107,,,
CO_05_05113,,,
CO_05_05120,42112,,
CO_05_05125,,,
CO_05_05129,81381,,
CO_05_05134,,,
CO_05_05138,,,
CO_05_05142,,,
CO_05_05145,,,
CO_05_05147,61641,,
CO_05_05148,49076,,
CO_05_05150,,,
CO_05_05154,87532,,
CO_05_05172,84183,,
CO_05_05190,9247,,
CO_05_05197,,,
CO_05_05206,3463,,
CO_05_05209,20271,,
CO_05_05212,73574,,
CO_05_05234,22954,,
CO_05_05237,24201,,
CO_05_05240,,,
CO_05_05250,50863,,
CO_05_05264,,,
CO_05_05266,228848,,
CO_05_05282,20997,,
CO_05_05284,,,
CO_05_05306,,,
CO_05_05308,59319,,
CO_05_05310,,,
CO_05_05313,,,
CO_05_05315,,,
CO_05_05318,51265,,
CO_05_05321,8,,
CO_05_05347,6138,,
CO_05_05353,,,
CO_05_05360,235016,,
CO_05_05361,,,
CO_05_05364,13748,,
CO_05_05368,,,
CO_05_05376,55246,,
CO_05_05380,66281,,
CO_05_05390,,,
CO_05_05400,19119,,
CO_05_05411,,,
CO_05_05425,,,
CO_05_05440,64645,,
CO_05_05467,,,
CO_05_05475,,,
CO_05_05480,22505,,
CO_05_05483,,,
CO_05_05490,69090,,
CO_05_05495,25790,,
CO_05_05501,,,
CO_05_05541,,,
CO_05_05543,,,
CO_05_05576,,,
CO_05_05579,50232,,
CO_05_05585,,,
CO_05_05591,21745,,
CO_05_05604,32057,,
CO_05_05607,16974,,
CO_05_05615,114299,,
CO_05_05628,,,
CO_05_05631,54573,,
CO_05_05642,17804,,
CO_05_05647,,,
CO_05_05649,,,
CO_05_05652,,,
CO_05_05656,,,
CO_05_05658,,,
CO_05_05659,27149,,
CO_05_05660,,,
CO_05_05664,28438,,
CO_05_05665,32328,,
CO_05_05667,,,
CO_05_05670,,,
CO_05_05674,,,
CO_05_05679,21413,,
CO_05_05686,37435,,
CO_05_05690,10759,,
CO_05_05697,27316,,
CO_05_05736,38661,,
CO_05_05756,36445,,
CO_05_05761,14453,,
CO_05_05789,15218,,
CO_05_05790,39257,,
CO_05_05792,7542,,
CO_05_05809,14092,,
CO_05_05819,6144,,
CO_05_05837,181000,,
CO_05_05842,8253,,
CO_05_05847,47128,,
CO_05_05854,24538,,
CO_05_05856,,,
CO_05_05858,,,
CO_05_05861,,,
CO_05_05873,,,
CO_05_05885,,,
CO_05_05887,48556,,
CO_05_05890,25647,,
CO_05_05893,,,
CO_05_05895,29614,,
CO_08,2722128,,
CO_08_08001,1112889,,
CO_08_08078,50261,,
CO_08_08137,18354,,
CO_08_08141,11635,,
CO_08_08296,31596,,
CO_08_08372,14184,,
CO_08_08421,22878,,
CO_08_08433,99058,,
CO_08_08436,13456,,
CO_08_08520,23012,,
CO_08_08549,4874,,
CO_08_08558,13518,,
CO_08_08560,18430,,
CO_08_08573,26932,,
CO_08_08606,22196,,
CO_08_08634,24880,,
CO_08_08638,84410,,
CO_08_08675,11947,,
CO_08_08685,23188,,
CO_08_08758,455796,,
CO_08_08770,9344,,
CO_08_08832,10602,,
CO_08_08849,8561,,
CO_11,7743955,,
CO_11_11001,7743955,,
CO_13,2180976,,
CO_13_13001,978600,,
CO_13_13006,23051,,
CO_13_13030,13669,,
CO_13_13042,18876,,
CO_13_13052,78070,,
CO_13_13062,,,
CO_13_13074,,,
CO_13_13140,24573,,
CO_13_13160,,,
CO_13_13188,,,
CO_13_13212,12266,,
CO_13_13222,,,
CO_13_13244,78729,,
CO_13_13248,,,
CO_13_13268,,,
CO_13_13300,12270,,
CO_13_13430,123906,,
CO_13_13433,27127,,
CO_13_13440,9876,,
CO_13_13442,49462,,
CO_13_13458,21229,,
CO_13_13468,45417,,
CO_13_13473,21182,,
CO_13_13490,9850,,
CO_13_13549,24923,,
CO_13_13580,10489,,
CO_13_13600,,,
CO_13_13620,,,
CO_13_13647,,,
CO_13_13650,,,
CO_13_13654,21644,,
CO_13_13655,13426,,
CO_13_13657,34012,,
CO_13_13667,,,
CO_13_13670,36341,,
CO_13_13673,,,
CO_13_13683,24694,,
CO_13_13688,46017,,
CO_13_13744,20271,,
CO_13_13760,,,
CO_13_13780,11350,,
CO_13_13810,22041,,
CO_13_13836,63450,,
CO_13_13838,,,
CO_13_13873,20624,,
CO_13_13894,,,
CO_15,1242731,,
CO_15_15001,162419,,
CO_15_15022,2171,,
CO_15_15047,16087,,
CO_15_15051,5240,,
CO_15_15087,,,
CO_15_15090,,,
CO_15_15092,,,
CO_15_15097,7079,,
CO_15_15104,,,
CO_15_15106,2584,,
CO_15_15109,,,
CO_15_15114,,,
CO_15_15131,3638,,
CO_15_15135,,,
CO_15_15162,,,
CO_15_15172,3528,,
CO_15_15176,65274,,
CO_15_15180,4291,,
CO_15_15183,9542,,
CO_15_15185,5687,,
CO_15_15187,,,
CO_15_15189,,,
CO_15_15204,,,
CO_15_15212,,,
CO_15_15215,,,
CO_15_15218,2861,,
CO_15_15223,6725,,
CO_15_15224,,,
CO_15_15226,,,
CO_15_15232,5484,,
CO_15_15236,,,
CO_15_15238,126670,,
CO_15_15244,5241,,
CO_15_15248,4195,,
CO_15_15272,,,
CO_15_15276,,,
CO_15_15293,2654,,
CO_15_15296,,,
CO_15_15299,,,
CO_15_15317,1693,,
CO_15_15322,,,
CO_15_15325,,,
CO_15_15332,6909,,
CO_15_15362,,,
CO_15_15367,,,
CO_15_15368,,,
CO_15_15377,5099,,
CO_15_15380,,,
CO_15_15401,,,
CO_15_15403,2523,,
CO_15_15407,18598,,
CO_15_15425,,,
CO_15_15442,7480,,
CO_15_15455,,,
CO_15_15464,,,
CO_15_15466,,,
CO_15_15469,21402,,
CO_15_15476,8067,,
CO_15_15480,8548,,
CO_15_15491,,,
CO_15_15494,,,
CO_15_15500,,,
CO_15_15507,,,
CO_15_15511,,,
CO_15_15514,,,
CO_15_15516,27274,,
CO_15_15518,1719,,
CO_15_15522,1487,,
CO_15_15531,,,
CO_15_15533,,,
CO_15_15537,,,
CO_15_15542,9322,,
CO_15_15550,,,
CO_15_15572,56930,,
CO_15_15580,,,
CO_15_15599,,,
CO_15_15600,,,
CO_15_15621,,,
CO_15_15632,12372,,
CO_15_15638,3791,,
CO_15_15646,20767,,
CO_15_15660,,,
CO_15_15664,5221,,
CO_15_15667,,,
CO_15_15673,3682,,
CO_15_15676,,,
CO_15_15681,,,
CO_15_15686,7692,,
CO_15_15690,,,
CO_15_15693,,,
CO_15_15696,2704,,
CO_15_15720,2339,,
CO_15_15723,1110,,
CO_15_15740,,,
CO_15_15753,7255,,
CO_15_15755,,,
CO_15_15757,7140,,
CO_15_15759,114486,,
CO_15_15761,,,
CO_15_15762,3025,,
CO_15_15763,,,
CO_15_15764,,,
CO_15_15774,3095,,
CO_15_15776,5916,,
CO_15_15778,,,
CO_15_15790,6361,,
CO_15_15798,,,
CO_15_15804,9186,,
CO_15_15806,,,
CO_15_15808,3035,,
CO_15_15810,3206,,
CO_15_15814,,,
CO_15_15816,4966,,
CO_15_15820,,,
CO_15_15822,5386,,
CO_15_15832,1840,,
CO_15_15835,,,
CO_15_15837,,,
CO_15_15839,1890,,
CO_15_15842,,,
CO_15_15861,,,
CO_15_15879,,,
CO_15_15897,,,
CO_17,1018453,,
CO_17_17001,434403,,
CO_17_17013,21237,,
CO_17_17042,33272,,
CO_17_17050,,,
CO_17_17088,,,
CO_17_17174,50673,,
CO_17_17272,,,
CO_17_17380,78540,,
CO_17_17388,,,
CO_17_17433,22623,,
CO_17_17442,,,
CO_17_17444,,,
CO_17_17446,,,
CO_17_17486,31399,,
CO_17_17495,,,
CO_17_17513,,,
CO_17_17524,,,
CO_17_17541,26342,,
CO_17_17614,62296,,
CO_17_17616,,,
CO_17_17653,,,
CO_17_17662,25798,,
CO_17_17665,,,
CO_17_17777,27489,,
CO_17_17867,,,
CO_17_17873,60729,,
CO_17_17877,,,
CO_18,410521,,0.752
CO_18_18001,143871,,
CO_18_18029,,,
CO_18_18094,,,
CO_18_18150,35473,,
CO_18_18205,,,
CO_18_18247,22306,,
CO_18_18256,21462,,
CO_18_18410,24323,,
CO_18_18460,,,
CO_18_18479,,,
CO_18_18592,33701,,
CO_18_18610,,,
CO_18_18753,72949,,
CO_18_18756,25546,,
CO_18_18785,,,
CO_18_18860,,,
CO_19,1491937,,
CO_19_19001,300837,,
CO_19_19022,21374,,
CO_19_19050,27670,,
CO_19_19075,26384,,
CO_19_19100,44868,,
CO_19_19110,34631,,
CO_19_19130,38703,,
CO_19_19137,34132,,
CO_19_19142,,,
CO_19_19212,33489,,
CO_19_19256,48094,,
CO_19_19290,,,
CO_19_19300,,,
CO_19_19318,29989,,
CO_19_19355,32582,,
CO_19_19364,,,
CO_19_19392,,,
CO_19_19397,47417,,
CO_19_19418,20867,,
CO_19_19450,,,
CO_19_19455,42639,,
CO_19_19473,26707,,
CO_19_19513,,,
CO_19_19517,36628,,
CO_19_19532,37504,,
CO_19_19533,,,
CO_19_19548,46163,,
CO_19_19573,46166,,
CO_19_19585,,,
CO_19_19622,,,
CO_19_19693,,,
CO_19_19698,110535,,
CO_19_19701,,,
CO_19_19743,32692,,
CO_19_19760,,,
CO_19_19780,,,
CO_19_19785,,,
CO_19_19807,35564,,
CO_19_19809,22077,,
CO_19_19821,26616,,
CO_19_19824,17611,,
CO_19_19845,,,
CO_20,1295387,,0.729
CO_20_20001,490075,,
CO_20_20011,109621,,
CO_20_20013,49233,,
CO_20_20032,,,
CO_20_20045,,,
CO_20_20060,39716,,
CO_20_20175,30303,,
CO_20_20178,,,
CO_20_20228,23018,,
CO_20_20238,,,
CO_20_20250,23534,,
CO_20_20295,,,
CO_20_20310,,,
CO_20_20383,,,
CO_20_20400,22405,,
CO_20_20443,,,
CO_20_20517,,,
CO_20_20550,,,
CO_20_20570,24572,,
CO_20_20614,14041,,
CO_20_20621,23025,,
CO_20_20710,26551,,
CO_20_20750,,,
CO_20_20770,,,
CO_20_20787,,,
CO_23,1828947,,
CO_23_23001,460223,,
CO_23_23068,47247,,
CO_23_23079,22711,,
CO_23_23090,23520,,
CO_23_23162,83917,,
CO_23_23168,,,
CO_23_23182,50313,,
CO_23_23189,64226,,
CO_23_23300,,,
CO_23_23350,,,
CO_23_23417,110316,,
CO_23_23419,26705,,
CO_23_23464,,,
CO_23_23466,88674,,
CO_23_23500,29117,,
CO_23_23555,69285,,
CO_23_23570,41684,,
CO_23_23574,32745,,
CO_23_23580,53990,,
CO_23_23586,,,
CO_23_23660,90487,,
CO_23_23670,47282,,
CO_23_23672,33662,,
CO_23_23675,36200,,
CO_23_23678,28597,,
CO_23_23682,,,
CO_23_23686,45396,,
CO_23_23807,78770,,
CO_23_23815,41345,,
CO_23_23855,46897,,
CO_25,3242999,,
CO_25_25001,10995,,
CO_25_25019,5956,,
CO_25_25035,,,
CO_25_25040,12911,,
CO_25_25053,,,
CO_25_25086,,,
CO_25_25095,,,
CO_25_25099,8788,,
CO_25_25120,,,
CO_25_25123,,,
CO_25_25126,44721,,
CO_25_25148,,,
CO_25_25151,,,
CO_25_25154,,,
CO_25_25168,,,
CO_25_25175,97896,,
CO_25_25178,,,
CO_25_25181,,,
CO_25_25183,25257,,
CO_25_25200,24092,,
CO_25_25214,19664,,
CO_25_25224,,,
CO_25_25245,22247,,
CO_25_25258,4759,,
CO_25_25260,17254,,
CO_25_25269,107452,,
CO_25_25279,,,
CO_25_25281,,,
CO_25_25286,80937,,
CO_25_25288,,,
CO_25_25290,108938,,
CO_25_25293,,,
CO_25_25295,,,
CO_25_25297,,,
CO_25_25299,,,
CO_25_25307,129834,,
CO_25_25312,9253,,
CO_25_25317,,,
CO_25_25320,41142,,
CO_25_25322,15727,,
CO_25_25324,2711,,
CO_25_25326,6963,,
CO_25_25328,3668,,
CO_25_25335,,,
CO_25_25339,,,
CO_25_25368,2660,,
CO_25_25372,8720,,
CO_25_25377,28908,,
CO_25_25386,33241,,
CO_25_25394,,,
CO_25_25398,,,
CO_25_25402,,,
CO_25_25407,,,
CO_25_25426,,,
CO_25_25430,80622,,
CO_25_25436,,,
CO_25_25438,10205,,
CO_25_25473,91282,,
CO_25_25483,,,
CO_25_25486,,,
CO_25_25488,,,
CO_25_25489,,,
CO_25_25491,,,
CO_25_25506,,,
CO_25_25513,27977,,
CO_25_25518,,,
CO_25_25524,,,
CO_25_25530,7835,,
CO_25_25535,,,
CO_25_25572,,,
CO_25_25580,,,
CO_25_25592,,,
CO_25_25594,,,
CO_25_25596,,,
CO_25_25599,,,
CO_25_25612,,,
CO_25_25645,,,
CO_25_25649,,,
CO_25_25653,,,
CO_25_25658,,,
CO_25_25662,,,
CO_25_25718,,,
CO_25_25736,,,
CO_25_25740,38412,,
CO_25_25743,22020,,
CO_25_25745,,,
CO_25_25754,995268,,
CO_25_25758,29120,,
CO_25_25769,,,
CO_25_25772,17318,,
CO_25_25777,,,
CO_25_25779,,,
CO_25_25781,,,
CO_25_25785,29731,,
CO_25_25793,,,
CO_25_25797,,,
CO_25_25799,20269,,
CO_25_25805,,,
CO_25_25807,,,
CO_25_25815,18790,,
CO_25_25817,35439,,
CO_25_25823,,,
CO_25_25839,,,
CO_25_25841,,,
CO_25_25843,39568,,
CO_25_25845,,,
CO_25_25851,,,
CO_25_25862,,,
CO_25_25867,,,
CO_25_25871,,,
CO_25_25873,21049,,
CO_25_25875,43574,,
CO_25_25878,,,
CO_25_25885,,,
CO_25_25898,5570,,
CO_25_25899,101551,,
CO_27,544764,,
CO_27_27001,130825,,
CO_27_27006,,,
CO_27_27025,40733,,
CO_27_27050,,,
CO_27_27073,,,
CO_27_27075,,,
CO_27_27077,,,
CO_27_27099,,,
CO_27_27135,,,
CO_27_27150,,,
CO_27_27160,,,
CO_27_27205,,,
CO_27_27245,,,
CO_27_27250,,,
CO_27_27361,25981,,
CO_27_27372,,,
CO_27_27413,,,
CO_27_27425,33542,,
CO_27_27430,,,
CO_27_27450,,,
CO_27_27491,,,
CO_27_27495,8958,,
CO_27_27580,,,
CO_27_27600,,,
CO_27_27615,29036,,
CO_27_27660,,,
CO_27_27745,,,
CO_27_27787,,,
CO_27_27800,,,
CO_27_27810,,,
CO_41,1122622,,
CO_41_41001,316033,,
CO_41_41006,39877,,
CO_41_41013,,,
CO_41_41016,29177,,
CO_41_41020,24708,,
CO_41_41026,,,
CO_41_41078,,,
CO_41_41132,34923,,
CO_41_41206,,,
CO_41_41244,,,
CO_41_41298,69823,,
CO_41_41306,35498,,
CO_41_41319,22867,,
CO_41_41349,,,
CO_41_41357,,,
CO_41_41359,28530,,
CO_41_41378,,,
CO_41_41396,67220,,
CO_41_41483,,,
CO_41_41503,,,
CO_41_41518,,,
CO_41_41524,34987,,
CO_41_41530,,,
CO_41_41548,,,
CO_41_41551,133205,,
CO_41_41615,,,
CO_41_41660,,,
CO_41_41668,34120,,
CO_41_41676,,,
CO_41_41770,21119,,
CO_41_41791,,,
CO_41_41797,,,
CO_41_41799,,,
CO_41_41801,,,
CO_41_41807,20463,,
CO_41_41872,,,
CO_41_41885,,,
CO_44,965718,,0.76
CO_44_44001,167865,,
CO_44_44035,28474,,
CO_44_44078,37554,,
CO_44_44090,37854,,
CO_44_44098,17112,,
CO_44_44110,9121,,
CO_44_44279,35205,,
CO_44_44378,28671,,
CO_44_44420,3341,,
CO_44_44430,123757,,
CO_44_44560,67584,,
CO_44_44650,39472,,
CO_44_44847,117674,,
CO_44_44855,19629,,
CO_44_44874,28736,,
CO_47,1427026,,
CO_47_47001,515556,,
CO_47_47030,,,
CO_47_47053,40400,,
CO_47_47058,32637,,
CO_47_47161,,,
CO_47_47170,15960,,
CO_47_47189,129414,,
CO_47_47205,,,
CO_47_47245,55530,,
CO_47_47258,16752,,
CO_47_47268,20981,,
CO_47_47288,90514,,
CO_47_47318,28277,,
CO_47_47460,21612,,
CO_47_47541,8066,,
CO_47_47545,,,
CO_47_47551,33225,,
CO_47_47555,61856,,
CO_47_47570,33030,,
CO_47_47605,,,
CO_47_47660,,,
CO_47_47675,,,
CO_47_47692,,,
CO_47_47703,9107,,
CO_47_47707,25938,,
CO_47_47720,12610,,
CO_47_47745,31706,,
CO_47_47798,14320,,
CO_47_47960,,,
CO_47_47980,62312,,
CO_50,1062454,,
CO_50_50001,495227,,
CO_50_50006,75252,,
CO_50_50110,,,
CO_50_50124,,,
CO_50_50150,,,
CO_50_50223,,,
CO_50_50226,,,
CO_50_50245,,,
CO_50_50251,,,
CO_50_50270,,,
CO_50_50287,,,
CO_50_50313,62209,,
CO_50_50318,,,
CO_50_50325,,,
CO_50_50330,,,
CO_50_50350,36781,,
CO_50_50370,,,
CO_50_50400,,,
CO_50_50450,23131,,
CO_50_50568,,,
CO_50_50573,35097,,
CO_50_50577,,,
CO_50_50590,,,
CO_50_50606,,,
CO_50_50680,,,
CO_50_50683,,,
CO_50_50686,,,
CO_50_50689,25902,,
CO_50_50711,25461,,
CO_52,1627589,,
CO_52_52001,,,
CO_52_52019,23279,,
CO_52_52022,,,
CO_52_52036,,,
CO_52_52051,,,
CO_52_52079,41306,,
CO_52_52083,,,
CO_52_52110,26229,,
CO_52_52203,,,
CO_52_52207,,,
CO_52_52210,,,
CO_52_52215,,,
CO_52_52224,,,
CO_52_52227,40492,,
CO_52_52233,,,
CO_52_52240,,,
CO_52_52250,42525,,
CO_52_52254,,,
CO_52_52256,,,
CO_52_52258,,,
CO_52_52260,,,
CO_52_52287,,,
CO_52_52317,,,
CO_52_52320,,,
CO_52_52323,,,
CO_52_52352,,,
CO_52_52354,,,
CO_52_52356,109116,,
CO_52_52378,,,
CO_52_52381,,,
CO_52_52385,,,
CO_52_52390,,,
CO_52_52399,25270,,
CO_52_52405,,,
CO_52_52411,,,
CO_52_52418,20865,,
CO_52_52427,25373,,
CO_52_52435,,,
CO_52_52473,,,
CO_52_52480,,,
CO_52_52490,32759,,
CO_52_52506,,,
CO_52_52520,,,
CO_52_52540,,,
CO_52_52560,,,
CO_52_52565,,,
CO_52_52573,,,
CO_52_52585,,,
CO_52_52612,,,
CO_52_52621,25433,,
CO_52_52678,49178,,
CO_52_52683,25220,,
CO_52_52685,21492,,
CO_52_52687,20403,,
CO_52_52693,,,
CO_52_52694,,,
CO_52_52696,,,
CO_52_52699,31856,,
CO_52_52720,,,
CO_52_52786,21985,,
CO_52_52788,,,
CO_52_52835,160034,,
CO_52_52838,40159,,
CO_52_52885,,,
CO_54,1620318,,
CO_54_54001,750000,,
CO_54_54003,39443,,
CO_54_54051,,,
CO_54_54099,,,
CO_54_54109,,,
CO_54_54125,,,
CO_54_54128,,,
CO_54_54172,,,
CO_54_54174,,,
CO_54_54206,,,
CO_54_54223,,,
CO_54_54239,,,
CO_54_54245,,,
CO_54_54250,,,
CO_54_54261,23921,,
CO_54_54313,,,
CO_54_54344,,,
CO_54_54347,,,
CO_54_54377,,,
CO_54_54385,,,
CO_54_54398,,,
CO_54_54405,80235,,
CO_54_54418,,,
CO_54_54480,,,
CO_54_54498,90037,,
CO_54_54518,58975,,
CO_54_54520,,,
CO_54_54553,,,
CO_54_54599,,,
CO_54_54660,,,
CO_54_54670,,,
CO_54_54673,,,
CO_54_54680,,,
CO_54_54720,22583,,
CO_54_54743,,,
CO_54_54800,23381,,
CO_54_54810,37286,,
CO_54_54820,,,
CO_54_54871,,,
CO_54_54874,69833,,
CO_63,555401,,
CO_63_63001,280930,,
CO_63_63111,2730,,
CO_63_63130,74890,,
CO_63_63190,30914,,
CO_63_63212,5249,,
CO_63_63272,13628,,
CO_63_63302,7921,,
CO_63_63401,46323,,
CO_63_63470,41857,,
CO_63_63548,5940,,
CO_63_63594,35276,,
CO_63_63690,7103,,
CO_66,961055,,
CO_66_66001,590554,,
CO_66_66045,,,
CO_66_66075,,,
CO_66_66088,27727,,
CO_66_66170,179301,,
CO_66_66318,,,
CO_66_66383,,,
CO_66_66400,32330,,
CO_66_66440,24131,,
CO_66_66456,,,
CO_66_66572,,,
CO_66_66594,34005,,
CO_66_66682,73028,,
CO_66_66687,,,
CO_68,2280908,,
CO_68_68001,581130,,
CO_68_68013,,,
CO_68_68020,,,
CO_68_68051,8269,,
CO_68_68077,29581,,
CO_68_68079,7010,,
CO_68_68081,190058,,
CO_68_68092,,,
CO_68_68101,11778,,
CO_68_68121,,,
CO_68_68132,,,
CO_68_68147,,,
CO_68_68152,,,
CO_68_68160,,,
CO_68_68162,,,
CO_68_68167,10211,,
CO_68_68169,,,
CO_68_68176,,,
CO_68_68179,,,
CO_68_68190,49593,,
CO_68_68207,,,
CO_68_68209,,,
CO_68_68211,,,
CO_68_68217,7659,,
CO_68_68229,12065,,
CO_68_68235,20858,,
CO_68_68245,,,
CO_68_68250,,,
CO_68_68255,11252,,
CO_68_68264,,,
CO_68_68266,,,
CO_68_68271,6268,,
CO_68_68276,254683,,
CO_68_68296,2074,,
CO_68_68298,,,
CO_68_68307,160403,,
CO_68_68318,6208,,
CO_68_68320,,,
CO_68_68322,,,
CO_68_68324,,,
CO_68_68327,3689,,
CO_68_68344,,,
CO_68_68368,,,
CO_68_68370,,,
CO_68_68377,8596,,
CO_68_68385,15395,,
CO_68_68397,,,
CO_68_68406,42000,,
CO_68_68418,12648,,
CO_68_68425,,,
CO_68_68432,18230,,
CO_68_68444,,,
CO_68_68464,10860,,
CO_68_68468,,,
CO_68_68498,,,
CO_68_68500,12063,,
CO_68_68502,,,
CO_68_68522,,,
CO_68_68524,,,
CO_68_68533,4294,,
CO_68_68547,117364,,
CO_68_68549,,,
CO_68_68572,11718,,
CO_68_68573,8011,,
CO_68_68575,31509,,
CO_68_68615,26243,,
CO_68_68655,17965,,
CO_68_68669,8094,,
CO_68_68673,,,
CO_68_68682,,,
CO_68_68684,,,
CO_68_68686,,,
CO_68_68689,35121,,
CO_68_68705,,,
CO_68_68720,,,
CO_68_68745,7393,,
CO_68_68755,31115,,
CO_68_68770,10006,,
CO_68_68773,8098,,
CO_68_68780,,,
CO_68_68820,7239,,
CO_68_68855,,,
CO_68_68861,18808,,
CO_68_68867,,,
CO_68_68872,5443,,
CO_68_68895,8762,,
CO_70,949252,,
