pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138,0,0.00,,,100.00
1,Canada,Canada,26-02-2020,12,0,0,12,,N/A,,,1,9.09,0.032,0,0.00,,,100.00
35,Ontario,Ontario,27-02-2020,6,0,0,6,,N/A,,,1,20.00,0.041,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138,0,0.00,,,100.00
1,Canada,Canada,27-02-2020,13,0,0,13,,N/A,,,1,8.33,0.035,0,0.00,,,100.00
35,Ontario,Ontario,29-02-2020,8,0,0,8,,N/A,,,2,33.33,0.055,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,N/A,,,0,0.00,0.138,0,0.00,,,100.00
1,Canada,Canada,29-02-2020,15,0,0,15,,N/A,,,2,15.38,0.040,0,0.00,,,100.00
35,Ontario,Ontario,01-03-2020,15,0,0,15,,N/A,,,7,87.50,0.103,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,N/A,,,1,14.29,0.158,0,0.00,,,100.00
24,Quebec,Québec,01-03-2020,1,0,0,1,,N/A,,,1,100.00,0.012,0,0.00,,,100.00
1,Canada,Canada,01-03-2020,24,0,0,24,,N/A,,,9,60.00,0.064,0,0.00,,,100.00
35,Ontario,Ontario,03-03-2020,20,0,0,20,,N/A,,,5,33.33,0.137,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,N/A,,,4,50.00,0.237,0,0.00,,,100.00
24,Quebec,Québec,03-03-2020,1,0,0,1,,N/A,,,0,0.00,0.012,0,0.00,,,100.00
1,Canada,Canada,03-03-2020,33,0,0,33,,N/A,,,9,37.50,0.088,0,0.00,,,100.00
35,Ontario,Ontario,05-03-2020,22,0,0,22,,N/A,,,2,10.00,0.151,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,N/A,,,9,75.00,0.414,0,0.00,,,100.00
24,Quebec,Québec,05-03-2020,2,0,0,2,,N/A,,,1,100.00,0.024,0,0.00,,,100.00
1,Canada,Canada,05-03-2020,45,0,0,45,,N/A,,,12,36.36,0.120,0,0.00,,,100.00
35,Ontario,Ontario,06-03-2020,28,0,0,28,,N/A,,,6,27.27,0.192,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,N/A,,,0,0.00,0.414,0,0.00,,,100.00
24,Quebec,Québec,06-03-2020,2,0,0,2,,N/A,,,0,0.00,0.024,0,0.00,,,100.00
1,Canada,Canada,06-03-2020,51,0,0,51,,N/A,,,6,13.33,0.136,0,0.00,,,100.00
35,Ontario,Ontario,07-03-2020,28,0,0,28,,N/A,,,0,0.00,0.192,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,N/A,,,6,28.57,0.532,0,0.00,,,100.00
24,Quebec,Québec,07-03-2020,2,0,0,2,,N/A,,,0,0.00,0.024,0,0.00,,,100.00
1,Canada,Canada,07-03-2020,57,0,0,57,,N/A,,,6,11.76,0.152,0,0.00,,,100.00
35,Ontario,Ontario,08-03-2020,31,0,0,31,,N/A,,,3,10.71,0.213,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1,27,,N/A,,,0,0.00,0.532,1,3.70,,,96.30
24,Quebec,Québec,08-03-2020,3,0,0,3,,N/A,,,1,50.00,0.035,0,0.00,,,100.00
48,Alberta,Alberta,08-03-2020,1,0,0,1,,N/A,,,1,100.00,0.023,0,0.00,,,100.00
1,Canada,Canada,08-03-2020,62,0,1,62,,N/A,,,5,8.77,0.165,1,1.61,,,98.39
35,Ontario,Ontario,09-03-2020,34,0,0,34,,N/A,,,3,9.68,0.233,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1,32,,N/A,,,5,18.52,0.631,0,3.13,,,96.88
24,Quebec,Québec,09-03-2020,4,0,0,4,,N/A,,,1,33.33,0.047,0,0.00,,,100.00
48,Alberta,Alberta,09-03-2020,7,0,0,7,,N/A,,,6,600.00,0.160,0,0.00,,,100.00
1,Canada,Canada,09-03-2020,77,0,1,77,,N/A,,,15,24.19,0.205,0,1.30,,,98.70
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1,39,4373,N/A,,862,0,0.00,0.769,0,2.56,4373,,97.44
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,N/A,,450,0,0.00,0.320,0,0.00,1969,,100.00
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,N/A,,174,0,0.00,0.000,0,,204,,
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,N/A,,257,0,0.00,0.000,0,,352,,
35,Ontario,Ontario,11-03-2020,42,0,1,42,3394,N/A,,233,8,23.53,0.288,1,2.38,3394,,97.62
24,Quebec,Québec,11-03-2020,7,0,0,7,556,N/A,,66,3,75.00,0.082,0,0.00,556,,100.00
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,N/A,,28,0,0.00,0.000,0,,22,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,N/A,,84,0,0.00,0.000,0,,44,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,N/A,,106,0,0.00,0.000,0,,103,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,N/A,,38,0,0.00,0.000,0,,6,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,29,N/A,,,1,100.00,,0,0.00,29,,100.00
1,Canada,Canada,11-03-2020,103,0,2,103,11023,N/A,,293,26,33.77,0.274,0,1.94,11023,,98.06
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,1,46,5195,N/A,,1024,7,17.95,0.907,0,2.17,822,,97.83
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,N/A,,940,5,35.71,0.435,0,0.00,2140,,100.00
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,N/A,,243,1,0.00,0.085,0,0.00,81,,100.00
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,N/A,,257,1,0.00,0.073,0,0.00,0,,100.00
35,Ontario,Ontario,12-03-2020,59,0,1,59,4185,N/A,,287,17,40.48,0.405,0,1.69,791,,98.31
24,Quebec,Québec,12-03-2020,13,0,0,13,740,N/A,,87,6,85.71,0.153,0,0.00,184,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,N/A,,100,0,0.00,0.000,0,,30,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,N/A,,57,1,0.00,0.129,0,0.00,0,,100.00
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,N/A,,187,0,0.00,0.000,0,,79,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,N/A,,38,0,0.00,0.000,0,,0,,
60,Yukon,Yukon,12-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,N/A,,758,0,0.00,0.000,0,,34,,
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,N/A,,26,0,0.00,0.000,0,,1,,
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,29,N/A,,,0,0.00,,0,0.00,0,,100.00
1,Canada,Canada,12-03-2020,138,3,2,141,15185,N/A,,404,38,36.89,0.375,0,1.42,4162,,98.58
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,1,53,5195,N/A,,1024,7,15.22,1.045,0,1.89,0,,98.11
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,N/A,,940,4,21.05,0.526,0,0.00,0,,100.00
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,N/A,,243,0,0.00,0.085,0,0.00,0,,100.00
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,N/A,,257,2,200.00,0.219,0,0.00,0,,100.00
35,Ontario,Ontario,13-03-2020,79,0,1,79,4185,N/A,,287,20,33.90,0.542,0,1.27,0,,98.73
24,Quebec,Québec,13-03-2020,17,0,0,17,740,N/A,,87,4,30.77,0.200,0,0.00,0,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0,0,52,N/A,,100,0,0.00,0.000,0,,0,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,N/A,,57,0,0.00,0.129,0,0.00,0,,100.00
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0,0,182,N/A,,187,0,0.00,0.000,0,,0,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0,0,6,N/A,,38,0,0.00,0.000,0,,0,,
60,Yukon,Yukon,13-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0,0,34,N/A,,758,0,0.00,0.000,0,,0,,
62,Nunavut,Nunavut,13-03-2020,0,0,0,0,1,N/A,,26,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,29,N/A,,,1,100.00,,0,0.00,0,,100.00
1,Canada,Canada,13-03-2020,176,3,2,179,15185,N/A,,404,38,26.95,0.476,0,1.12,0,,98.88
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,1,64,7033,N/A,,1387,11,20.75,1.262,0,1.56,1838,,98.44
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,N/A,,1200,6,26.09,0.663,0,0.00,1138,,100.00
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,N/A,,297,1,100.00,0.170,0,0.00,64,,100.00
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,N/A,,611,1,33.33,0.292,0,0.00,485,,100.00
35,Ontario,Ontario,14-03-2020,79,0,1,79,6646,N/A,,456,0,0.00,0.542,0,1.27,2461,,98.73
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,N/A,,187,0,0.00,0.200,0,0.00,844,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,N/A,,119,0,0.00,0.000,0,,10,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,N/A,,106,1,100.00,0.257,0,0.00,38,,100.00
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,N/A,,495,0,0.00,0.000,0,,299,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,N/A,,38,0,0.00,0.000,0,,0,,
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,N/A,,1695,0,0.00,0.000,0,,42,,
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,N/A,,155,0,0.00,0.000,0,,5,,
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,29,N/A,,,0,0.00,,0,0.00,0,,100.00
1,Canada,Canada,14-03-2020,193,6,2,199,22409,N/A,,596,20,11.17,0.529,0,1.01,7224,,98.99
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,1,73,7033,N/A,,1387,9,14.06,1.439,0,1.37,0,,98.63
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,N/A,,1200,10,34.48,0.892,0,0.00,0,,100.00
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,N/A,,297,0,0.00,0.170,0,0.00,0,,100.00
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,N/A,,611,0,0.00,0.292,0,0.00,0,,100.00
35,Ontario,Ontario,15-03-2020,103,0,1,103,8461,N/A,,581,24,30.38,0.707,0,0.97,1815,,99.03
24,Quebec,Québec,15-03-2020,24,0,0,24,2337,N/A,,275,7,41.18,0.283,0,0.00,753,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0,1,62,N/A,,119,1,0.00,0.192,0,0.00,0,,100.00
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0,2,82,N/A,,106,0,0.00,0.257,0,0.00,0,,100.00
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0,0,481,N/A,,495,0,0.00,0.000,0,,0,,
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0,1,6,N/A,,38,1,0.00,0.637,0,0.00,0,,100.00
60,Yukon,Yukon,15-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0,0,76,N/A,,1695,0,0.00,0.000,0,,0,,
62,Nunavut,Nunavut,15-03-2020,0,0,0,0,6,N/A,,155,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0,4,29,N/A,,,2,100.00,,0,0.00,0,,100.00
1,Canada,Canada,15-03-2020,249,4,2,253,24977,N/A,,664,54,27.14,0.673,0,0.79,2568,,99.21
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,4,73,9926,N/A,,1957,0,0.00,1.439,3,5.48,2893,,94.52
48,Alberta,Alberta,16-03-2020,56,0,0,56,10238,N/A,,2342,17,43.59,1.281,0,0.00,4991,,100.00
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0,6,881,N/A,,750,4,200.00,0.511,0,0.00,532,,100.00
46,Manitoba,Manitoba,16-03-2020,4,3,0,7,1848,N/A,,1349,3,75.00,0.511,0,0.00,1011,,100.00
35,Ontario,Ontario,16-03-2020,145,0,1,145,10178,N/A,,699,42,40.78,0.995,0,0.69,1717,,99.31
24,Quebec,Québec,16-03-2020,39,0,0,39,3129,N/A,,369,15,62.50,0.460,0,0.00,792,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0,1,161,N/A,,309,0,0.00,0.192,0,0.00,99,,100.00
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0,6,143,N/A,,184,4,200.00,0.772,0,0.00,61,,100.00
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0,3,1075,N/A,,1107,3,0.00,0.309,0,0.00,594,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0,1,6,N/A,,38,0,0.00,0.637,0,0.00,0,,100.00
60,Yukon,Yukon,16-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0,0,138,N/A,,3079,0,0.00,0.000,0,,62,,
62,Nunavut,Nunavut,16-03-2020,0,0,0,0,7,N/A,,181,0,0.00,0.000,0,,1,,
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0,4,29,N/A,,,0,0.00,,0,0.00,0,,100.00
1,Canada,Canada,16-03-2020,324,17,5,341,37730,N/A,,1004,88,34.78,0.907,3,1.47,12753,,98.53
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,7,103,11612,N/A,,2290,30,41.10,2.031,3,6.80,1686,,93.20
48,Alberta,Alberta,17-03-2020,74,0,0,74,11487,N/A,,2628,18,32.14,1.693,0,0.00,1249,,100.00
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0,7,1066,N/A,,908,1,16.67,0.596,0,0.00,185,,100.00
46,Manitoba,Manitoba,17-03-2020,7,0,0,7,2216,N/A,,1618,0,0.00,0.511,0,0.00,368,,100.00
35,Ontario,Ontario,17-03-2020,177,0,1,177,11167,N/A,,767,32,22.07,1.215,0,0.56,989,,99.44
24,Quebec,Québec,17-03-2020,50,0,0,50,4870,N/A,,574,11,28.21,0.589,0,0.00,1741,,100.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0,1,161,N/A,,309,0,0.00,0.192,0,0.00,0,,100.00
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0,7,295,N/A,,380,1,16.67,0.901,0,0.00,152,,100.00
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0,5,1075,N/A,,1107,2,66.67,0.515,0,0.00,0,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0,1,75,N/A,,478,0,0.00,0.637,0,0.00,69,,100.00
60,Yukon,Yukon,17-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0,0,145,N/A,,3235,0,0.00,0.000,0,,7,,
62,Nunavut,Nunavut,17-03-2020,0,0,0,0,7,N/A,,181,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,0,8,29,N/A,,,4,100.00,,0,0.00,0,,100.00
1,Canada,Canada,17-03-2020,424,16,8,440,44176,N/A,,1175,99,29.03,1.171,3,1.82,6446,,98.18
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,7,186,13388,N/A,,2640,83,80.58,3.668,0,3.76,1776,,96.24
48,Alberta,Alberta,18-03-2020,97,0,0,97,13686,N/A,,3131,23,31.08,2.219,0,0.00,2199,,100.00
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0,8,1910,N/A,,1626,1,14.29,0.681,0,0.00,844,,100.00
46,Manitoba,Manitoba,18-03-2020,8,7,0,15,2739,N/A,,2000,8,114.29,1.095,0,0.00,523,,100.00
35,Ontario,Ontario,18-03-2020,189,0,1,189,13869,N/A,,952,12,6.78,1.297,0,0.53,2702,,99.47
24,Quebec,Québec,18-03-2020,74,0,1,74,5880,N/A,,693,24,48.00,0.872,1,1.35,1010,,98.65
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0,3,161,N/A,,309,2,200.00,0.575,0,0.00,0,,100.00
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0,8,408,N/A,,525,1,14.29,1.030,0,0.00,113,,100.00
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0,7,1278,N/A,,1316,2,40.00,0.721,0,0.00,203,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0,1,75,N/A,,478,0,0.00,0.637,0,0.00,0,,100.00
60,Yukon,Yukon,18-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0,0,145,N/A,,3235,0,0.00,0.000,0,,0,,
62,Nunavut,Nunavut,18-03-2020,0,0,0,0,7,N/A,,181,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,18-03-2020,9,0,0,9,29,N/A,,,1,12.50,,0,0.00,0,,100.00
1,Canada,Canada,18-03-2020,569,28,9,597,53546,N/A,,1425,157,35.68,1.588,1,1.51,9370,,98.49
59,British Columbia,Colombie-Britannique,19-03-2020,271,0,8,271,16382,N/A,,3230,85,45.70,5.344,1,2.95,2994,,97.05
48,Alberta,Alberta,19-03-2020,146,0,1,146,16507,N/A,,3776,49,50.52,3.340,1,0.68,2821,,99.32
47,Saskatchewan,Saskatchewan,19-03-2020,8,12,0,20,1910,N/A,,1626,12,150.00,1.703,0,0.00,0,,100.00
46,Manitoba,Manitoba,19-03-2020,17,0,0,17,3189,N/A,,2329,2,13.33,1.241,0,0.00,450,,100.00
35,Ontario,Ontario,19-03-2020,258,0,2,258,18488,N/A,,1269,69,36.51,1.771,1,0.78,4619,,99.22
24,Quebec,Québec,19-03-2020,121,0,1,121,6757,N/A,,796,47,63.51,1.426,0,0.83,877,,99.17
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,2,0,3,267,N/A,,512,0,0.00,0.575,0,0.00,106,,100.00
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,4,0,11,527,N/A,,678,3,37.50,1.416,0,0.00,119,,100.00
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,9,0,14,1520,N/A,,1565,7,100.00,1.441,0,0.00,242,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,0,2,75,N/A,,478,1,100.00,1.274,0,0.00,0,,100.00
60,Yukon,Yukon,19-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,0,0,221,N/A,,4930,0,0.00,0.000,0,,76,,
62,Nunavut,Nunavut,19-03-2020,0,0,0,0,8,N/A,,206,0,0.00,0.000,0,,1,,
99,Repatriated travellers,Voyageurs rapatriés,19-03-2020,10,0,0,10,29,N/A,,,1,11.11,,0,0.00,0,,100.00
1,Canada,Canada,19-03-2020,846,27,12,873,65851,N/A,,1752,276,46.23,2.322,3,1.37,12305,,98.63
59,British Columbia,Colombie-Britannique,20-03-2020,271,0,9,271,18792,N/A,,3706,0,0.00,5.344,1,3.32,2410,,96.68
48,Alberta,Alberta,20-03-2020,195,0,1,195,19782,N/A,,4525,49,33.56,4.461,0,0.51,3275,,99.49
47,Saskatchewan,Saskatchewan,20-03-2020,8,18,0,26,1910,N/A,,1626,6,30.00,2.214,0,0.00,0,,100.00
46,Manitoba,Manitoba,20-03-2020,17,0,0,17,3367,N/A,,2459,0,0.00,1.241,0,0.00,178,,100.00
35,Ontario,Ontario,20-03-2020,311,0,2,311,21499,N/A,,1476,53,20.54,2.135,0,0.64,3011,,99.36
24,Quebec,Québec,20-03-2020,139,0,1,139,8539,N/A,,1006,18,14.88,1.638,0,0.72,1782,,99.28
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-03-2020,3,1,0,4,287,N/A,,550,1,33.33,0.767,0,0.00,20,,100.00
13,New Brunswick,Nouveau-Brunswick,20-03-2020,7,4,0,11,640,N/A,,824,0,0.00,1.416,0,0.00,113,,100.00
12,Nova Scotia,Nouvelle-Écosse,20-03-2020,5,10,0,15,1647,N/A,,1695,1,7.14,1.544,0,0.00,127,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,20-03-2020,2,0,0,2,75,N/A,,478,0,0.00,1.274,0,0.00,0,,100.00
60,Yukon,Yukon,20-03-2020,0,0,0,0,0,N/A,,,0,0.00,0.000,0,,0,,
61,Northwest Territories,Territoires du Nord-Ouest,20-03-2020,0,0,0,0,268,N/A,,5979,0,0.00,0.000,0,,47,,
62,Nunavut,Nunavut,20-03-2020,0,0,0,0,8,N/A,,206,0,0.00,0.000,0,,0,,
99,Repatriated travellers,Voyageurs rapatriés,20-03-2020,13,0,0,13,29,N/A,,,3,30.00,,0,0.00,0,,100.00
1,Canada,Canada,20-03-2020,971,33,13,1004,76814,N/A,,2044,131,15.01,2.671,1,1.29,10963,,98.71
59,British Columbia,Colombie-Britannique,21-03-2020,424,0,10,424,20417,N/A,,4026,153,56.46,8.361,1,2.36,1625,,97.64
48,Alberta,Alberta,21-03-2020,226,0,1,226,23060,N/A,,5275,31,15.90,5.170,0,0.44,3278,,99.56
47,Saskatchewan,Saskatchewan,21-03-2020,25,19,0,44,3807,N/A,,3241,18,69.23,3.746,0,0.00,1897,,100.00
46,Manitoba,Manitoba,21-03-2020,11,8,0,19,3668,N/A,,2678,2,11.76,1.387,0,0.00,301,,100.00
35,Ontario,Ontario,21-03-2020,377,0,3,377,25470,N/A,,1749,66,21.22,2.588,1,0.80,3971,,99.20
24,Quebec,Québec,21-03-2020,202,19,4,221,8539,N/A,,1006,82,58.99,2.605,3,1.81,0,,98.19
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,3,3,0,6,299,N/A,,573,2,50.00,1.150,0,0.00,12,,100.00
13,New Brunswick,Nouveau-Brunswick,21-03-2020,9,8,0,17,865,N/A,,1114,6,54.55,2.188,0,0.00,225,,100.00
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,9,12,0,21,1956,N/A,,2014,6,40.00,2.162,0,0.00,309,,100.00
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,2,0,0,2,75,N/A,,478,0,0.00,1.274,0,0.00,0,,100.00
60,Yukon,Yukon,21-03-2020,0,0,0,0,416,N/A,,10183,0,0.00,0.000,0,,416,,
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,1,0,0,1,301,N/A,,6715,1,0.00,2.231,0,0.00,33,,100.00
62,Nunavut,Nunavut,21-03-2020,0,0,0,0,10,N/A,,258,0,0.00,0.000,0,,2,,
99,Repatriated travellers,Voyageurs rapatriés,21-03-2020,13,0,0,13,29,N/A,,,0,0.00,,0,0.00,0,,100.00
1,Canada,Canada,21-03-2020,1302,69,18,1371,88883,N/A,,2365,367,36.55,3.647,5,1.31,12069,,98.69
