pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,N/A,,,0,0.000
24,Quebec,Québec,06-03-2020,2,0,0,2,,N/A,,,0,0.000
1,Canada,Canada,06-03-2020,51,0,0,51,,N/A,,,6,0.133
35,Ontario,Ontario,07-03-2020,28,0,0,28,,N/A,,,0,0.000
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,N/A,,,6,0.286
24,Quebec,Québec,07-03-2020,2,0,0,2,,N/A,,,0,0.000
1,Canada,Canada,07-03-2020,57,0,0,57,,N/A,,,6,0.118
35,Ontario,Ontario,08-03-2020,31,0,0,31,,N/A,,,3,0.107
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,0,27,,N/A,,,0,0.000
24,Quebec,Québec,08-03-2020,3,0,0,3,,N/A,,,1,0.500
48,Alberta,Alberta,08-03-2020,1,0,0,1,,N/A,,,1,1.000
1,Canada,Canada,08-03-2020,62,0,0,62,,N/A,,,5,0.088
35,Ontario,Ontario,09-03-2020,34,0,0,34,,N/A,,,3,0.097
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,0,32,,N/A,,,5,0.185
24,Quebec,Québec,09-03-2020,4,0,0,4,,N/A,,,1,0.333
48,Alberta,Alberta,09-03-2020,7,0,0,7,,N/A,,,6,6.000
1,Canada,Canada,09-03-2020,77,0,0,77,,N/A,,,15,0.242
35,Ontario,Ontario,11-03-2020,42,0,0,42,3394,N/A,,,8,0.235
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,0,39,4373,N/A,,,7,0.219
24,Quebec,Québec,11-03-2020,7,0,0,7,556,N/A,,,3,0.750
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,N/A,,,7,1.000
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,0,N/A,,,1,1.000
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,N/A,,,0,0.000
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,N/A,,,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,N/A,,,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,N/A,,,0,0.000
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,N/A,,,0,0.000
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,N/A,,,0,0.000
1,Canada,Canada,11-03-2020,103,0,0,103,11023,N/A,,,26,0.338
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,0,46,5195,N/A,,,7,0.179
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,N/A,,,5,0.357
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,N/A,,,1,0.000
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,N/A,,,1,0.000
35,Ontario,Ontario,12-03-2020,59,0,0,59,4185,N/A,,,17,0.405
24,Quebec,Québec,12-03-2020,13,0,0,13,740,N/A,,,6,0.857
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,N/A,,,1,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,N/A,,,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,N/A,,,0,0.000
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,0,N/A,,,0,0.000
60,Yukon,Yukon,12-03-2020,0,0,0,0,0,N/A,,,0,0.000
1,Canada,Canada,12-03-2020,138,3,0,141,15185,N/A,,,38,0.369
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,0,53,5195,N/A,,,7,0.152
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,N/A,,,4,0.211
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,N/A,,,0,0.000
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,N/A,,,2,2.000
35,Ontario,Ontario,13-03-2020,79,0,0,79,4185,N/A,,,20,0.339
24,Quebec,Québec,13-03-2020,17,0,0,17,740,N/A,,,4,0.308
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0,0,6,N/A,,,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0,0,52,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0,0,182,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,0,N/A,,,1,1.000
60,Yukon,Yukon,13-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0,0,34,N/A,,,0,0.000
62,Nunavut,Nunavut,13-03-2020,0,0,0,0,1,N/A,,,0,0.000
1,Canada,Canada,13-03-2020,176,3,0,179,15185,N/A,,,38,0.270
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,0,64,7033,N/A,,,11,0.208
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,N/A,,,6,0.261
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,N/A,,,1,1.000
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,N/A,,,1,0.333
35,Ontario,Ontario,14-03-2020,79,0,0,79,6646,N/A,,,0,0.000
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,N/A,,,1,1.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,N/A,,,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,N/A,,,0,0.000
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,N/A,,,0,0.000
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,0,N/A,,,0,0.000
1,Canada,Canada,14-03-2020,193,6,0,199,22409,N/A,,,20,0.112
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,0,73,7033,N/A,,,9,0.141
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,N/A,,,10,0.345
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,N/A,,,0,0.000
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,N/A,,,0,0.000
35,Ontario,Ontario,15-03-2020,103,0,0,103,8461,N/A,,,24,0.304
24,Quebec,Québec,15-03-2020,24,0,0,24,2337,N/A,,,7,0.412
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0,1,62,N/A,,,1,0.000
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0,2,82,N/A,,,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0,1,6,N/A,,,1,0.000
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0,0,481,N/A,,,0,0.000
60,Yukon,Yukon,15-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0,0,76,N/A,,,0,0.000
62,Nunavut,Nunavut,15-03-2020,0,0,0,0,6,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0,4,0,N/A,,,2,1.000
1,Canada,Canada,15-03-2020,249,4,0,253,24977,N/A,,,54,0.271
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,0,73,9926,N/A,,,0,0.000
48,Alberta,Alberta,16-03-2020,56,0,0,56,10238,N/A,,,17,0.436
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0,6,881,N/A,,,4,2.000
46,Manitoba,Manitoba,16-03-2020,4,3,0,7,1848,N/A,,,3,0.750
35,Ontario,Ontario,16-03-2020,145,0,0,145,10178,N/A,,,42,0.408
24,Quebec,Québec,16-03-2020,39,0,0,39,3129,N/A,,,15,0.625
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0,1,161,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0,6,143,N/A,,,4,2.000
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0,3,1075,N/A,,,3,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0,1,6,N/A,,,0,0.000
60,Yukon,Yukon,16-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0,0,138,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0,4,0,N/A,,,0,0.000
62,Nunavut,Nunavut,16-03-2020,0,0,0,0,7,N/A,,,0,0.000
1,Canada,Canada,16-03-2020,324,17,0,341,37730,N/A,,,88,0.348
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,0,103,11612,N/A,,,30,0.411
48,Alberta,Alberta,17-03-2020,74,0,0,74,11487,N/A,,,18,0.321
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0,7,1066,N/A,,,1,0.167
46,Manitoba,Manitoba,17-03-2020,7,0,0,7,2216,N/A,,,0,0.000
35,Ontario,Ontario,17-03-2020,177,0,0,177,11167,N/A,,,32,0.221
24,Quebec,Québec,17-03-2020,50,0,0,50,4870,N/A,,,11,0.282
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0,1,161,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0,7,295,N/A,,,1,0.167
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0,5,1075,N/A,,,2,0.667
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0,1,75,N/A,,,0,0.000
60,Yukon,Yukon,17-03-2020,0,0,0,0,0,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0,0,145,N/A,,,0,0.000
62,Nunavut,Nunavut,17-03-2020,0,0,0,0,7,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,0,8,0,N/A,,,4,1.000
1,Canada,Canada,17-03-2020,424,16,0,440,44176,N/A,,,99,0.290
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,0,186,13388,N/A,,,83,0.806
48,Alberta,Alberta,18-03-2020,97,0,0,97,13686,N/A,,,23,0.311
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0,8,1910,N/A,,,1,0.143
46,Manitoba,Manitoba,18-03-2020,8,7,0,15,2739,N/A,,,8,1.143
35,Ontario,Ontario,18-03-2020,189,0,0,189,13869,N/A,,,12,0.068
24,Quebec,Québec,18-03-2020,74,0,0,74,5880,N/A,,,24,0.480
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0,3,161,N/A,,,2,2.000
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0,8,408,N/A,,,1,0.143
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0,7,1278,N/A,,,2,0.400
60,Yukon,Yukon,18-03-2020,0,0,0,0,0,N/A,,,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0,1,75,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0,0,145,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,18-03-2020,9,0,0,9,0,N/A,,,1,0.125
62,Nunavut,Nunavut,18-03-2020,0,0,0,0,7,N/A,,,0,0.000
1,Canada,Canada,18-03-2020,569,28,0,597,53546,N/A,,,157,0.357
59,British Columbia,Colombie-Britannique,19-03-2020,271,0,0,271,16382,N/A,,,85,0.457
48,Alberta,Alberta,19-03-2020,146,0,0,146,16507,N/A,,,49,0.505
47,Saskatchewan,Saskatchewan,19-03-2020,8,12,0,20,1910,N/A,,,12,1.500
46,Manitoba,Manitoba,19-03-2020,17,0,0,17,3189,N/A,,,2,0.133
35,Ontario,Ontario,19-03-2020,258,0,0,258,18488,N/A,,,69,0.365
24,Quebec,Québec,19-03-2020,121,0,0,121,6757,N/A,,,47,0.635
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,2,0,3,267,N/A,,,0,0.000
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,4,0,11,527,N/A,,,3,0.375
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,9,0,14,1520,N/A,,,7,1.000
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,0,2,75,N/A,,,1,1.000
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,0,0,221,N/A,,,0,0.000
62,Nunavut,Nunavut,19-03-2020,0,0,0,0,8,N/A,,,0,0.000
60,Yukon,Yukon,19-03-2020,0,0,0,0,0,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,19-03-2020,10,0,0,10,0,N/A,,,1,0.111
1,Canada,Canada,19-03-2020,846,27,0,873,65851,N/A,,,276,0.462
59,British Columbia,Colombie-Britannique,20-03-2020,271,0,8,271,18792,N/A,,,0,0.000
48,Alberta,Alberta,20-03-2020,195,0,1,195,19782,N/A,,,49,0.336
47,Saskatchewan,Saskatchewan,20-03-2020,8,18,0,26,1910,N/A,,,6,0.300
46,Manitoba,Manitoba,20-03-2020,17,0,0,17,3367,N/A,,,0,0.000
35,Ontario,Ontario,20-03-2020,311,0,2,311,21499,N/A,,,53,0.205
24,Quebec,Québec,20-03-2020,139,0,1,139,8539,N/A,,,18,0.149
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-03-2020,3,1,0,4,287,N/A,,,1,0.333
13,New Brunswick,Nouveau-Brunswick,20-03-2020,7,4,0,11,640,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,20-03-2020,5,10,0,15,1647,N/A,,,1,0.071
11,Prince Edward Island,Île-du-Prince-Édouard,20-03-2020,2,0,0,2,75,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,20-03-2020,0,0,0,0,268,N/A,,,0,0.000
62,Nunavut,Nunavut,20-03-2020,0,0,0,0,8,N/A,,,0,0.000
60,Yukon,Yukon,20-03-2020,0,0,0,0,0,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,20-03-2020,13,0,0,13,0,N/A,,,3,0.300
1,Canada,Canada,20-03-2020,971,33,12,1004,76814,N/A,,,131,0.150
59,British Columbia,Colombie-Britannique,21-03-2020,424,0,10,424,20417,N/A,,,153,0.565
48,Alberta,Alberta,21-03-2020,226,0,1,226,23060,N/A,,,31,0.159
47,Saskatchewan,Saskatchewan,21-03-2020,25,19,0,44,3807,N/A,,,18,0.692
46,Manitoba,Manitoba,21-03-2020,11,8,0,19,3668,N/A,,,2,0.118
35,Ontario,Ontario,21-03-2020,377,0,3,377,25470,N/A,,,66,0.212
24,Quebec,Québec,21-03-2020,202,19,4,221,8539,N/A,,,82,0.590
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,3,3,0,6,299,N/A,,,2,0.500
13,New Brunswick,Nouveau-Brunswick,21-03-2020,9,8,0,17,865,N/A,,,6,0.545
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,9,12,0,21,1956,N/A,,,6,0.400
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,2,0,0,2,75,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,1,0,0,1,301,N/A,,,1,0.000
62,Nunavut,Nunavut,21-03-2020,0,0,0,0,10,N/A,,,0,0.000
60,Yukon,Yukon,21-03-2020,0,0,0,0,416,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,21-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,21-03-2020,1302,69,18,1371,88883,N/A,,,367,0.366
59,British Columbia,Colombie-Britannique,22-03-2020,424,0,10,424,22135,N/A,,,0,0.000
48,Alberta,Alberta,22-03-2020,259,0,1,259,26999,N/A,,,33,0.146
47,Saskatchewan,Saskatchewan,22-03-2020,33,19,0,52,4407,N/A,,,8,0.182
46,Manitoba,Manitoba,22-03-2020,11,8,0,19,3936,N/A,,,0,0.000
35,Ontario,Ontario,22-03-2020,425,0,5,425,28570,N/A,,,48,0.127
24,Quebec,Québec,22-03-2020,221,0,4,221,8539,N/A,,,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-03-2020,3,6,0,9,299,N/A,,,3,0.500
13,New Brunswick,Nouveau-Brunswick,22-03-2020,9,8,0,17,924,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,22-03-2020,28,0,0,28,2210,N/A,,,7,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,22-03-2020,3,0,0,3,75,N/A,,,1,0.500
61,Northwest Territories,Territoires du Nord-Ouest,22-03-2020,1,0,0,1,301,N/A,,,0,0.000
62,Nunavut,Nunavut,22-03-2020,0,0,0,0,13,N/A,,,0,0.000
60,Yukon,Yukon,22-03-2020,0,0,0,0,416,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,22-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,22-03-2020,1430,41,20,1471,98824,N/A,,,100,0.073
59,British Columbia,Colombie-Britannique,23-03-2020,472,0,13,472,23460,N/A,,,48,0.113
48,Alberta,Alberta,23-03-2020,301,0,1,301,29757,N/A,,,42,0.162
47,Saskatchewan,Saskatchewan,23-03-2020,65,1,0,66,5130,N/A,,,14,0.269
46,Manitoba,Manitoba,23-03-2020,11,9,0,20,4133,N/A,,,1,0.053
35,Ontario,Ontario,23-03-2020,503,0,6,503,30688,N/A,,,78,0.184
24,Quebec,Québec,23-03-2020,221,407,4,628,8539,N/A,,,407,1.842
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,23-03-2020,4,20,0,24,894,N/A,,,15,1.667
13,New Brunswick,Nouveau-Brunswick,23-03-2020,9,8,0,17,1139,N/A,,,0,0.000
12,Nova Scotia,Nouvelle-Écosse,23-03-2020,41,0,0,41,2408,N/A,,,13,0.464
11,Prince Edward Island,Île-du-Prince-Édouard,23-03-2020,3,0,0,3,206,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,23-03-2020,1,0,0,1,364,N/A,,,0,0.000
62,Nunavut,Nunavut,23-03-2020,0,0,0,0,13,N/A,,,0,0.000
60,Yukon,Yukon,23-03-2020,2,0,0,2,416,N/A,,,2,0.000
99,Repatriated travellers,Voyageurs rapatriés,23-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,23-03-2020,1646,445,24,2091,107147,N/A,,,620,0.421
59,British Columbia,Colombie-Britannique,24-03-2020,617,0,13,617,26305,N/A,,,145,0.307
48,Alberta,Alberta,24-03-2020,358,0,2,358,32776,N/A,,,57,0.189
47,Saskatchewan,Saskatchewan,24-03-2020,72,0,0,72,5604,N/A,,,6,0.091
46,Manitoba,Manitoba,24-03-2020,11,10,0,21,4406,N/A,,,1,0.050
35,Ontario,Ontario,24-03-2020,588,0,8,588,34727,N/A,,,85,0.169
24,Quebec,Québec,24-03-2020,221,792,4,1013,15071,N/A,,,385,0.613
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,24-03-2020,4,31,0,35,1087,N/A,,,11,0.458
13,New Brunswick,Nouveau-Brunswick,24-03-2020,18,0,0,18,1261,N/A,,,1,0.059
12,Nova Scotia,Nouvelle-Écosse,24-03-2020,51,0,0,51,2641,N/A,,,10,0.244
11,Prince Edward Island,Île-du-Prince-Édouard,24-03-2020,3,0,0,3,206,N/A,,,0,0.000
60,Yukon,Yukon,24-03-2020,2,0,0,2,416,N/A,,,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,24-03-2020,1,0,0,1,481,N/A,,,0,0.000
62,Nunavut,Nunavut,24-03-2020,0,0,0,0,81,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,24-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,24-03-2020,1959,833,27,2792,125062,N/A,,,701,0.335
59,British Columbia,Colombie-Britannique,25-03-2020,659,0,14,659,28344,N/A,,,42,0.068
48,Alberta,Alberta,25-03-2020,419,0,2,419,35508,N/A,,,61,0.170
47,Saskatchewan,Saskatchewan,25-03-2020,86,0,0,86,6111,N/A,,,14,0.194
46,Manitoba,Manitoba,25-03-2020,11,24,0,35,4740,N/A,,,14,0.667
35,Ontario,Ontario,25-03-2020,688,0,13,688,38040,N/A,,,100,0.170
24,Quebec,Québec,25-03-2020,1339,0,6,1339,27828,N/A,,,326,0.322
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,25-03-2020,67,0,0,67,1235,N/A,,,32,0.914
13,New Brunswick,Nouveau-Brunswick,25-03-2020,26,0,0,26,1680,N/A,,,8,0.444
12,Nova Scotia,Nouvelle-Écosse,25-03-2020,68,0,0,68,3008,N/A,,,17,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,25-03-2020,5,0,0,5,301,N/A,,,2,0.667
61,Northwest Territories,Territoires du Nord-Ouest,25-03-2020,1,0,0,1,481,N/A,,,0,0.000
62,Nunavut,Nunavut,25-03-2020,0,0,0,0,97,N/A,,,0,0.000
60,Yukon,Yukon,25-03-2020,3,0,0,3,416,N/A,,,1,0.500
99,Repatriated travellers,Voyageurs rapatriés,25-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,25-03-2020,3385,24,35,3409,147789,N/A,,,617,0.221
59,British Columbia,Colombie-Britannique,26-03-2020,725,0,14,725,30238,N/A,,,66,0.100
48,Alberta,Alberta,26-03-2020,486,0,2,486,36600,N/A,,,67,0.160
47,Saskatchewan,Saskatchewan,26-03-2020,95,0,0,95,6729,N/A,,,9,0.105
46,Manitoba,Manitoba,26-03-2020,11,25,0,36,5429,N/A,,,1,0.029
35,Ontario,Ontario,26-03-2020,858,0,15,858,41217,N/A,,,170,0.247
24,Quebec,Québec,26-03-2020,1629,0,8,1629,33311,N/A,,,290,0.217
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,26-03-2020,82,0,0,82,1447,N/A,,,15,0.224
13,New Brunswick,Nouveau-Brunswick,26-03-2020,33,0,0,33,1849,N/A,,,7,0.269
12,Nova Scotia,Nouvelle-Écosse,26-03-2020,73,0,0,73,3417,N/A,,,5,0.074
11,Prince Edward Island,Île-du-Prince-Édouard,26-03-2020,9,0,0,9,353,N/A,,,4,0.800
61,Northwest Territories,Territoires du Nord-Ouest,26-03-2020,1,0,0,1,481,N/A,,,0,0.000
62,Nunavut,Nunavut,26-03-2020,0,0,0,0,116,N/A,,,0,0.000
60,Yukon,Yukon,26-03-2020,3,0,0,3,416,N/A,,,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,26-03-2020,13,0,0,13,0,N/A,,,0,0.000
1,Canada,Canada,26-03-2020,4018,25,39,4043,161603,N/A,,,634,0.186
59,British Columbia,Colombie-Britannique,27-03-2020,725,0,14,725,31536,N/A,,,0,0.000
48,Alberta,Alberta,27-03-2020,542,0,2,542,38215,N/A,,,56,0.115
47,Saskatchewan,Saskatchewan,27-03-2020,104,0,0,104,7360,N/A,,,9,0.095
46,Manitoba,Manitoba,27-03-2020,25,14,1,39,6022,N/A,,,3,0.083
