key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
CH,2020-06-03,3,0,,1254,3623,130,,399211
CH_AG,2020-06-02,3,0,20,,1213,46,1140,
CH_AI,2020-06-03,0,0,,,25,0,,
CH_AR,2020-06-03,0,0,,,100,3,,
CH_BE,2020-06-03,1,0,,,1912,97,,
CH_BL,2020-06-03,1,0,0,,844,35,802,
CH_BS,2020-06-03,1,0,0,0,979,50,923,235
CH_FR,2020-06-03,1,0,0,0,1162,84,150,30
CH_GE,2020-06-02,0,0,15,0,5154,281,807,36715
CH_GL,2020-06-03,0,0,,,128,12,,
CH_GR,2020-06-02,0,0,,,827,48,,
CH_JU,2020-06-02,0,0,,,205,7,,
CH_LU,2020-06-03,0,0,,,735,20,,
CH_NE,2020-06-02,1,0,,,727,83,,
CH_NW,2020-06-03,0,0,,,124,3,,
CH_OW,2020-06-03,0,0,0,0,82,0,1,6
CH_SG,2020-06-03,1,0,6,,809,37,223,
CH_SH,2020-06-03,0,0,,,78,6,,
CH_SO,2020-06-03,2,0,,,445,17,,
CH_SZ,2020-06-03,0,0,0,0,307,23,284,10
CH_TG,2020-06-03,0,0,,0,383,18,,276
CH_TI,2020-06-03,0,0,2,,3315,348,899,
CH_UR,2020-06-02,0,0,0,0,93,7,86,85
CH_VD,2020-06-02,1,0,,,5447,406,,
CH_VS,2020-06-03,0,0,,,1947,151,,
CH_ZG,2020-06-02,0,0,5,,202,9,185,
CI,2020-06-02,73,0,,,3024,33,,
CL,2020-06-02,3527,75,,16750,108686,1188,,599190
CL_AI,2020-06-02,1,,,,18,,,
CL_AN,2020-06-02,66,,,,2683,,,
CL_AP,2020-06-02,18,,,,662,,,
CL_AR,2020-06-02,30,,,,2188,,,
CL_AT,2020-06-02,4,,,,236,,,
CL_BI,2020-06-02,12,,,,2093,,,
CL_CO,2020-06-02,19,,,,689,,,
CL_LI,2020-06-02,30,,,,861,,,
CL_LL,2020-06-02,31,,,,907,,,
CL_LR,2020-06-02,5,,,,375,,,
CL_MA,2020-06-02,3,,,,1079,,,
CL_ML,2020-06-02,40,,,,1398,,,
CL_NB,2020-06-01,33,,,,1313,,,
CL_RM,2020-06-02,3025,,,,89088,,,
CL_TA,2020-06-02,69,,,,2617,,,
CL_VS,2020-06-02,249,,,,3667,,,
CM,2020-06-02,188,1,,,6585,200,,
CN,2020-06-04,0,0,1,,84602,4645,79827,
CN_AH,2020-04-25,0,0,1,,991,6,985,
CN_BJ,2020-06-03,1,0,1,,594,9,582,
CN_CQ,2020-04-24,0,0,3,,579,6,573,
CN_FJ,2020-06-02,0,0,1,,358,1,356,
CN_GD,2020-06-03,1,0,0,,1597,8,1583,
CN_GS,2020-04-17,0,0,1,,139,2,137,
CN_GX,2020-04-02,0,0,2,,254,2,252,
CN_GZ,2020-04-19,1,0,1,,147,2,145,
CN_HA,2020-04-14,0,0,1,,1276,22,1254,
CN_HB,2020-06-01,0,0,1,,68135,4512,63620,
CN_HE,2020-05-18,0,0,1,,328,6,322,
CN_HI,2020-05-30,0,0,1,,169,6,163,
CN_HK,2020-06-04,0,0,1,,1093,4,1039,
CN_HL,2020-06-03,2,0,2,,947,13,934,
CN_HN,2020-04-18,0,0,1,,1019,4,1015,
CN_JL,2020-06-03,0,0,1,,155,2,148,
CN_JS,2020-05-11,0,0,1,,653,0,653,
CN_JX,2020-06-03,-5,0,-5,,932,1,931,
CN_LN,2020-05-26,0,0,2,,149,2,147,
CN_MO,2020-05-20,0,0,1,,45,0,45,
CN_NM,2020-06-02,0,0,2,,235,1,209,
CN_NX,2020-03-16,0,0,2,,75,0,75,
CN_QH,2020-02-24,0,0,0,,18,0,18,
CN_SC,2020-06-02,2,0,0,,577,3,558,
CN_SD,2020-05-31,2,0,0,,792,7,780,
CN_SH,2020-06-03,0,0,1,,673,7,661,
CN_SN,2020-06-01,1,0,0,,309,3,305,
CN_SX,2020-05-13,0,0,1,,198,0,198,
CN_TJ,2020-05-25,0,0,1,,192,3,188,
CN_TW,2020-06-03,0,0,1,,443,7,428,
CN_XJ,2020-03-08,0,0,1,,76,3,73,
CN_XZ,2020-02-24,0,0,0,,1,0,1,
CN_YN,2020-05-10,0,0,1,,185,2,183,
CN_ZJ,2020-05-05,0,0,2,,1268,1,1267,
CO,2020-06-02,1340,40,,12038,31833,1009,,331817
CO_05_05001,2020-06-02,24,0,4,,578,3,326,
CO_05_05030,2020-05-31,1,0,1,,2,0,1,
CO_05_05034,2020-04-20,0,0,1,,1,0,1,
CO_05_05038,2020-05-09,0,0,1,,1,0,1,
CO_05_05045,2020-05-31,1,0,0,,23,0,8,
CO_05_05079,2020-06-01,1,0,0,,3,0,1,
CO_05_05088,2020-06-02,2,0,1,,90,1,49,
CO_05_05129,2020-05-29,1,0,0,,4,0,3,
CO_05_05138,2020-05-30,2,0,0,,2,0,0,
CO_05_05147,2020-06-01,17,0,0,,72,0,0,
CO_05_05148,2020-05-19,0,0,1,,1,0,1,
CO_05_05154,2020-05-16,1,0,0,,1,0,0,
CO_05_05190,2020-05-21,0,0,1,,1,0,1,
CO_05_05197,2020-05-07,0,0,1,,1,0,1,
CO_05_05212,2020-06-02,1,0,1,,25,0,12,
CO_05_05237,2020-04-08,0,0,1,,1,0,1,
CO_05_05250,2020-05-25,0,0,1,,1,0,1,
CO_05_05266,2020-05-31,2,0,1,,31,0,26,
CO_05_05284,2020-05-27,1,0,0,,2,0,1,
CO_05_05306,2020-05-31,1,0,0,,3,0,0,
CO_05_05313,2020-05-02,0,1,0,,1,1,0,
CO_05_05318,2020-04-28,0,0,1,,3,0,3,
CO_05_05321,2020-05-16,0,0,1,,2,0,2,
CO_05_05360,2020-05-28,0,0,1,,19,0,16,
CO_05_05361,2020-06-01,37,0,0,,239,0,4,
CO_05_05368,2020-05-27,1,0,0,,1,0,0,
CO_05_05376,2020-06-02,1,0,0,,8,0,2,
CO_05_05380,2020-06-01,0,0,1,,12,0,10,
CO_05_05440,2020-05-28,1,0,0,,4,0,0,
CO_05_05467,2020-05-15,0,0,1,,3,0,3,
CO_05_05607,2020-04-07,0,0,1,,1,0,1,
CO_05_05615,2020-05-21,0,0,1,,13,0,12,
CO_05_05631,2020-05-30,1,0,1,,18,0,10,
CO_05_05652,2020-04-24,0,1,0,,1,1,0,
CO_05_05665,2020-04-22,0,0,1,,1,0,1,
CO_05_05670,2020-05-29,1,0,0,,1,0,0,
CO_05_05686,2020-04-13,0,0,1,,2,0,2,
CO_05_05697,2020-04-25,0,0,1,,1,0,1,
CO_05_05756,2020-04-25,0,0,1,,2,0,2,
CO_05_05837,2020-05-30,1,0,0,,22,0,2,
CO_05_05854,2020-05-31,1,0,0,,1,0,0,
CO_05_05890,2020-05-28,2,0,0,,2,0,0,
CO_08_08001,2020-06-02,175,0,64,,2291,74,488,
CO_08_08078,2020-06-02,15,0,2,,50,0,13,
CO_08_08137,2020-05-26,1,0,0,,2,0,0,
CO_08_08141,2020-05-18,0,0,1,,1,0,1,
CO_08_08296,2020-06-02,12,0,3,,88,2,13,
CO_08_08372,2020-06-02,1,0,0,,2,0,1,
CO_08_08421,2020-06-02,4,0,0,,7,0,0,
CO_08_08433,2020-06-02,50,0,14,,321,14,62,
CO_08_08436,2020-06-02,1,0,0,,6,0,3,
CO_08_08520,2020-06-02,3,0,3,,49,0,25,
CO_08_08549,2020-06-02,1,0,0,,6,0,0,
CO_08_08558,2020-06-02,1,0,2,,13,1,7,
CO_08_08560,2020-05-31,1,0,0,,8,0,1,
CO_08_08573,2020-06-02,8,0,1,,47,1,12,
CO_08_08606,2020-05-13,1,0,0,,1,1,0,
CO_08_08634,2020-06-02,11,0,20,,103,1,58,
CO_08_08638,2020-06-02,2,0,1,,36,0,9,
CO_08_08675,2020-05-14,1,0,0,,2,1,0,
CO_08_08685,2020-06-02,1,0,2,,40,1,14,
CO_08_08758,2020-06-02,104,0,70,,1421,28,386,
CO_08_08832,2020-06-02,2,0,0,,6,0,0,
CO_08_08849,2020-05-21,1,0,0,,1,0,0,
CO_11_11001,2020-06-02,373,0,310,,10742,278,4115,
CO_13_13001,2020-06-02,86,0,72,,3134,145,664,
CO_13_13052,2020-06-02,3,0,0,,36,1,14,
CO_13_13074,2020-04-17,1,0,0,,1,1,0,
CO_13_13140,2020-04-23,0,1,0,,1,1,0,
CO_13_13222,2020-05-25,1,0,0,,2,0,0,
CO_13_13244,2020-05-28,1,0,0,,1,0,0,
CO_13_13430,2020-05-30,1,0,0,,7,2,3,
CO_13_13442,2020-05-15,0,0,1,,1,0,1,
CO_13_13468,2020-06-02,1,0,0,,2,0,0,
CO_13_13620,2020-04-29,0,0,1,,1,0,1,
CO_13_13657,2020-05-31,1,0,0,,7,0,0,
CO_13_13673,2020-05-18,4,0,1,,5,0,1,
CO_13_13683,2020-06-02,3,0,0,,42,2,7,
CO_13_13688,2020-06-01,1,0,0,,1,0,0,
CO_13_13836,2020-06-02,0,0,1,,82,3,25,
CO_13_13838,2020-06-01,1,0,0,,12,1,1,
CO_13_13873,2020-06-02,1,0,0,,27,1,0,
CO_15_15001,2020-06-02,1,0,0,,58,2,18,
CO_15_15047,2020-05-31,0,0,1,,2,0,1,
CO_15_15109,2020-05-29,1,0,0,,1,0,0,
CO_15_15131,2020-05-06,0,0,1,,1,0,1,
CO_15_15176,2020-05-29,0,0,1,,14,0,10,
CO_15_15204,2020-05-31,1,0,0,,6,0,2,
CO_15_15212,2020-05-24,1,0,0,,1,0,0,
CO_15_15223,2020-05-21,1,0,0,,3,1,1,
CO_15_15224,2020-05-28,0,0,1,,2,1,1,
CO_15_15238,2020-05-30,1,0,0,,27,0,14,
CO_15_15299,2020-05-20,1,0,0,,4,1,2,
CO_15_15322,2020-05-28,3,0,0,,9,1,0,
CO_15_15407,2020-05-31,0,0,1,,5,0,5,
CO_15_15455,2020-05-21,0,0,1,,1,0,1,
CO_15_15469,2020-05-29,1,0,0,,4,0,0,
CO_15_15480,2020-05-19,0,0,1,,1,0,1,
CO_15_15494,2020-05-27,1,0,0,,1,0,0,
CO_15_15500,2020-04-11,0,0,1,,1,0,1,
CO_15_15516,2020-05-27,0,0,1,,6,1,4,
CO_15_15531,2020-05-26,1,0,0,,1,0,0,
CO_15_15533,2020-05-28,0,0,2,,2,0,2,
CO_15_15646,2020-05-27,0,0,1,,2,1,1,
CO_15_15676,2020-05-21,1,0,0,,1,0,0,
CO_15_15686,2020-05-16,0,0,1,,4,0,4,
CO_15_15693,2020-05-15,0,0,1,,1,0,1,
CO_15_15696,2020-05-24,0,0,1,,1,0,1,
CO_15_15757,2020-05-26,0,0,1,,3,0,3,
CO_15_15759,2020-05-31,0,0,1,,9,2,5,
CO_15_15776,2020-05-29,6,0,0,,14,0,1,
CO_15_15790,2020-05-27,1,0,0,,1,1,0,
CO_15_15798,2020-04-19,0,0,2,,2,0,2,
CO_15_15808,2020-05-12,1,0,0,,1,0,0,
CO_15_15810,2020-05-29,0,0,1,,1,0,1,
CO_15_15816,2020-05-31,0,0,1,,14,0,14,
CO_15_15835,2020-05-26,0,0,1,,3,0,3,
CO_15_15861,2020-05-25,1,0,0,,4,0,0,
CO_15_15879,2020-05-21,0,0,1,,1,0,1,
CO_17_17001,2020-06-02,6,0,0,,55,2,28,
CO_17_17013,2020-05-12,1,0,0,,1,0,0,
CO_17_17042,2020-04-10,0,0,1,,1,0,1,
CO_17_17174,2020-06-02,1,0,0,,7,0,6,
CO_17_17380,2020-06-02,0,0,6,,56,2,52,
CO_17_17433,2020-05-25,0,0,1,,2,1,1,
CO_17_17442,2020-05-08,0,0,1,,1,0,1,
CO_17_17444,2020-05-22,0,0,1,,5,0,5,
CO_17_17495,2020-05-08,0,1,0,,1,1,0,
CO_17_17614,2020-06-02,0,0,1,,2,0,1,
CO_17_17616,2020-05-15,0,0,1,,1,0,1,
CO_17_17662,2020-05-12,1,0,0,,2,0,1,
CO_17_17873,2020-06-02,1,0,0,,10,0,6,
CO_17_17877,2020-04-05,0,0,1,,2,0,2,
CO_18_18001,2020-06-02,0,0,2,,23,1,18,
CO_18_18753,2020-05-13,1,0,0,,1,0,0,
CO_19_19001,2020-06-02,1,0,1,,39,1,24,
CO_19_19110,2020-05-26,0,0,1,,1,0,1,
CO_19_19142,2020-05-20,1,0,0,,2,0,1,
CO_19_19256,2020-05-15,0,0,1,,4,0,2,
CO_19_19300,2020-04-30,0,0,1,,1,0,1,
CO_19_19418,2020-05-30,1,0,0,,1,0,0,
CO_19_19455,2020-05-09,0,0,1,,6,1,5,
CO_19_19532,2020-06-02,1,0,0,,1,0,0,
CO_19_19548,2020-05-31,1,0,0,,13,0,7,
CO_19_19573,2020-06-02,6,0,0,,27,0,5,
CO_19_19698,2020-06-01,1,0,0,,10,1,0,
CO_19_19743,2020-05-30,1,0,0,,1,0,0,
CO_19_19807,2020-04-26,0,0,1,,2,0,2,
CO_19_19809,2020-06-02,1,0,0,,2,0,0,
CO_19_19824,2020-05-22,0,0,1,,1,0,1,
CO_19_19845,2020-04-25,1,0,0,,1,1,0,
CO_20_20001,2020-06-02,29,0,0,,240,6,47,
CO_20_20011,2020-06-01,3,0,0,,6,1,1,
CO_20_20013,2020-06-02,2,0,2,,25,0,6,
CO_20_20045,2020-05-29,1,0,0,,2,0,0,
CO_20_20060,2020-06-02,2,0,0,,5,0,2,
CO_20_20175,2020-05-30,1,0,0,,1,0,0,
CO_20_20178,2020-06-02,1,0,0,,6,0,1,
CO_20_20238,2020-05-26,2,0,0,,5,0,0,
CO_20_20310,2020-06-01,4,0,0,,15,1,0,
CO_20_20400,2020-05-10,0,0,1,,1,0,1,
CO_20_20570,2020-05-29,1,0,0,,1,0,0,
CO_20_20614,2020-05-29,1,0,0,,4,2,0,
CO_20_20621,2020-06-02,2,0,0,,7,0,1,
CO_20_20750,2020-05-22,0,0,1,,3,0,3,
CO_20_20770,2020-06-02,1,0,0,,3,2,0,
CO_23_23001,2020-06-01,4,0,0,,68,2,33,
CO_23_23090,2020-05-27,1,0,0,,6,0,1,
CO_23_23162,2020-06-01,1,0,0,,7,0,2,
CO_23_23182,2020-05-27,1,0,0,,2,0,0,
CO_23_23189,2020-05-29,1,0,0,,3,1,0,
CO_23_23417,2020-06-02,0,0,1,,13,1,6,
CO_23_23466,2020-05-30,1,0,0,,3,1,1,
CO_23_23555,2020-06-01,1,0,0,,1,0,0,
CO_23_23574,2020-06-01,1,0,0,,1,0,0,
CO_23_23586,2020-06-01,1,0,0,,1,0,0,
CO_23_23660,2020-05-29,4,0,0,,28,1,4,
CO_23_23807,2020-05-15,0,1,0,,2,1,1,
CO_25_25001,2020-05-29,1,0,0,,1,0,0,
CO_25_25035,2020-06-01,17,0,0,,19,0,2,
CO_25_25040,2020-05-27,1,0,0,,1,0,0,
CO_25_25120,2020-06-02,1,0,0,,1,0,0,
CO_25_25126,2020-06-02,1,0,0,,28,0,18,
CO_25_25151,2020-06-01,2,0,0,,5,0,0,
CO_25_25175,2020-06-02,1,0,0,,51,0,29,
CO_25_25178,2020-06-01,1,0,0,,4,1,1,
CO_25_25181,2020-04-11,0,0,1,,1,0,1,
CO_25_25183,2020-05-30,2,0,0,,3,0,0,
CO_25_25200,2020-05-25,0,0,1,,2,0,2,
CO_25_25214,2020-06-01,2,0,0,,15,0,10,
CO_25_25245,2020-05-31,2,0,0,,14,1,1,
CO_25_25258,2020-05-28,1,0,0,,1,0,0,
CO_25_25260,2020-06-01,1,0,0,,1,0,0,
CO_25_25269,2020-06-02,2,0,0,,40,0,7,
CO_25_25279,2020-06-02,1,0,1,,12,0,3,
CO_25_25286,2020-06-02,4,0,0,,44,0,14,
CO_25_25290,2020-06-02,3,0,0,,37,2,5,
CO_25_25295,2020-06-02,0,0,1,,9,0,2,
CO_25_25307,2020-06-02,3,0,0,,33,1,0,
CO_25_25320,2020-05-31,0,0,1,,1,0,1,
CO_25_25372,2020-05-28,1,0,0,,2,0,0,
CO_25_25377,2020-06-01,7,0,0,,18,0,1,
CO_25_25386,2020-06-02,2,0,0,,14,0,0,
CO_25_25407,2020-05-30,1,0,0,,2,0,1,
CO_25_25430,2020-06-02,1,0,0,,35,0,11,
CO_25_25436,2020-05-27,1,0,0,,1,0,0,
CO_25_25473,2020-06-02,11,0,0,,51,2,14,
CO_25_25488,2020-05-24,1,0,0,,2,0,0,
CO_25_25506,2020-05-29,1,0,0,,1,0,0,
CO_25_25513,2020-06-02,3,0,0,,15,0,11,
CO_25_25535,2020-05-31,1,0,0,,5,0,0,
CO_25_25572,2020-05-30,0,1,0,,1,1,0,
CO_25_25645,2020-06-02,4,0,0,,6,0,0,
CO_25_25658,2020-05-24,2,0,0,,3,0,0,
CO_25_25662,2020-05-09,0,0,1,,2,0,2,
CO_25_25736,2020-05-25,1,0,0,,1,0,0,
CO_25_25740,2020-06-02,1,0,0,,12,0,8,
CO_25_25743,2020-05-30,1,0,0,,2,0,0,
CO_25_25754,2020-06-02,16,0,7,,352,3,98,
CO_25_25758,2020-06-02,0,0,1,,11,0,7,
CO_25_25769,2020-05-30,1,0,0,,10,0,3,
CO_25_25772,2020-05-25,1,0,0,,5,1,3,
CO_25_25785,2020-05-31,1,0,0,,8,0,1,
CO_25_25797,2020-05-29,1,0,0,,1,0,0,
CO_25_25799,2020-05-31,1,0,0,,17,2,5,
CO_25_25817,2020-06-01,2,0,0,,12,1,6,
CO_25_25841,2020-05-28,1,0,0,,1,0,0,
CO_25_25843,2020-06-02,1,0,0,,5,1,2,
CO_25_25845,2020-05-28,1,0,0,,2,0,1,
CO_25_25873,2020-06-01,1,0,0,,13,2,4,
CO_25_25875,2020-06-02,1,0,0,,8,0,4,
CO_25_25885,2020-05-30,1,0,0,,1,0,1,
CO_25_25898,2020-05-27,1,0,0,,2,0,0,
CO_25_25899,2020-06-02,2,0,0,,37,2,12,
CO_27_27001,2020-06-02,60,0,2,,241,5,43,
CO_27_27075,2020-05-19,1,0,0,,1,0,0,
CO_27_27099,2020-06-02,2,0,0,,3,0,0,
CO_27_27160,2020-05-28,1,0,0,,1,0,0,
CO_27_27205,2020-06-02,1,0,0,,2,0,0,
CO_27_27361,2020-06-02,2,0,0,,22,0,0,
CO_27_27430,2020-05-27,0,0,1,,1,0,1,
CO_27_27600,2020-05-30,1,0,0,,1,0,0,
CO_27_27787,2020-05-31,0,0,1,,5,0,2,
CO_27_27800,2020-05-31,1,0,0,,1,0,0,
CO_27_27810,2020-05-30,1,0,0,,13,4,1,
CO_41_41001,2020-05-31,2,0,11,,151,7,115,
CO_41_41006,2020-05-27,0,0,1,,2,0,2,
CO_41_41013,2020-04-18,0,0,1,,1,0,1,
CO_41_41016,2020-05-20,0,0,1,,4,0,4,
CO_41_41020,2020-05-28,2,0,0,,8,0,3,
CO_41_41132,2020-05-26,0,0,1,,1,0,1,
CO_41_41298,2020-06-01,2,0,0,,5,0,1,
CO_41_41306,2020-05-31,0,0,2,,22,0,21,
CO_41_41359,2020-05-20,1,0,0,,3,2,0,
CO_41_41396,2020-06-02,0,0,1,,5,0,4,
CO_41_41503,2020-05-19,0,0,11,,12,0,11,
CO_41_41518,2020-05-21,1,0,0,,3,1,2,
CO_41_41524,2020-05-08,0,0,1,,6,0,6,
CO_41_41551,2020-05-21,1,0,2,,18,2,12,
CO_41_41660,2020-05-15,1,0,0,,1,0,0,
CO_41_41668,2020-05-16,0,0,1,,3,0,3,
CO_41_41807,2020-05-19,0,0,1,,6,1,5,
CO_44_44001,2020-05-26,2,0,1,,15,1,9,
CO_44_44035,2020-05-28,0,0,1,,4,0,3,
CO_44_44078,2020-06-02,1,0,0,,1,0,0,
CO_44_44090,2020-05-28,0,0,1,,2,0,2,
CO_44_44098,2020-05-22,0,0,1,,2,0,2,
CO_44_44279,2020-05-20,0,0,1,,2,0,1,
CO_44_44378,2020-05-30,1,0,0,,1,0,0,
CO_44_44430,2020-06-01,2,0,0,,30,2,5,
CO_44_44650,2020-06-02,1,0,0,,8,1,5,
CO_47_47001,2020-06-02,9,0,4,,362,22,181,
CO_47_47053,2020-05-28,1,0,0,,2,0,0,
CO_47_47161,2020-06-02,1,0,0,,2,1,0,
CO_47_47189,2020-06-02,1,0,1,,111,5,57,
CO_47_47245,2020-06-02,0,0,1,,7,1,4,
CO_47_47258,2020-05-25,1,0,0,,1,0,0,
CO_47_47268,2020-05-21,0,0,1,,2,0,1,
CO_47_47288,2020-05-16,1,0,0,,3,0,0,
CO_47_47551,2020-05-31,0,1,0,,1,1,0,
CO_47_47570,2020-06-02,5,0,0,,135,12,19,
CO_47_47692,2020-05-30,1,0,0,,1,0,0,
CO_47_47745,2020-06-02,1,0,0,,12,0,1,
CO_47_47980,2020-05-31,1,0,4,,13,2,6,
CO_50_50001,2020-06-02,1,0,292,,938,9,872,
CO_50_50006,2020-06-02,0,0,1,,15,0,13,
CO_50_50124,2020-05-24,1,0,0,,1,0,0,
CO_50_50313,2020-06-02,2,0,0,,12,0,4,
CO_50_50568,2020-06-02,1,0,0,,2,0,0,
CO_50_50573,2020-06-01,1,0,0,,5,1,0,
CO_50_50606,2020-05-31,0,0,1,,4,0,3,
CO_50_50680,2020-05-16,1,0,0,,1,0,0,
CO_50_50683,2020-05-31,0,0,2,,3,0,3,
